
[PMH2004]|RAJ2000|DEJ2000|CFlux|Class
 |"h:m:s"|"d:m:s"|mW/m2|
---|-----------|-----------|---------|--------------------
360|01 35 09.60|+30 56 51.5| 2.93e-15|<hard>
361|01 35 10.07|+30 31 01.1| 1.94e-14|
362|01 35 11.08|+30 27 00.1| 8.60e-15|
363|01 35 11.37|+30 58 46.5| 2.85e-15|<hard>
364|01 35 12.14|+31 01 29.7| 2.68e-15|
365|01 35 12.41|+30 50 33.2| 2.89e-15|<hard>
366|01 35 12.44|+30 56 31.6| 3.58e-15|<hard>
367|01 35 12.77|+30 45 14.6| 2.30e-15|<hard>
368|01 35 12.84|+30 25 33.7| 4.66e-15|
369|01 35 13.62|+31 03 52.2| 4.41e-15|
370|01 35 14.18|+30 51 28.5| 2.30e-15|<hard>
375|01 35 17.34|+31 01 36.9| 7.23e-15|<hard>
376|01 35 17.71|+30 36 01.2| 2.21e-14|<hard>
377|01 35 17.74|+30 44 46.8| 8.61e-15|<hard>
378|01 35 18.07|+30 37 34.9| 2.89e-15|<hard>
379|01 35 18.10|+30 49 00.5| 4.98e-15|<hard>
380|01 35 20.40|+30 33 44.5| 2.45e-14|<hard>
381|01 35 21.25|+30 47 15.9| 9.55e-15|<hard>
383|01 35 22.45|+30 58 52.2| 4.51e-15|<hard>
384|01 35 22.55|+30 50 08.4| 6.24e-15|<hard>
385|01 35 22.73|+30 48 34.6| 3.40e-15|<hard>
387|01 35 23.50|+30 53 31.6| 7.16e-15|<hard>
388|01 35 24.09|+30 26 45.5| 8.08e-15|
389|01 35 26.36|+30 52 15.7| 1.19e-14|<hard>
390|01 35 26.88|+30 30 57.5| 6.12e-15|
391|01 35 26.99|+30 40 49.1| 7.61e-15|<hard>
392|01 35 27.64|+30 57 11.5| 2.93e-15|
394|01 35 27.73|+30 33 50.8| 8.71e-15|<hard>
395|01 35 28.42|+30 42 09.9| 8.40e-15|
396|01 35 29.78|+30 42 29.2| 8.05e-15|<hard>
397|01 35 30.95|+30 36 52.4| 9.23e-15|<hard>
398|01 35 31.04|+30 47 28.9| 6.29e-15|<hard>
399|01 35 33.70|+30 34 37.3| 8.12e-15|<hard>
400|01 35 34.07|+30 55 28.6| 5.68e-15|<hard>
401|01 35 36.32|+31 02 43.5| 1.22e-14|<hard>
402|01 35 41.07|+30 42 03.4| 6.25e-15|<hard>
403|01 35 41.49|+30 49 09.1| 1.61e-14|<hard>
405|01 35 48.91|+30 52 21.0| 1.00e-14|
407|01 35 56.80|+30 55 09.2| 1.02e-14|
408|01 36 01.07|+30 51 28.0| 2.72e-14|<hard>

